"id","frecuencia","nombre_emisora","clase_emisora","ciudad_id"
1,91.2,NUEVO HORIZONTE,COMUNITARIA,631
2,103.2,BUENAS NUEVAS DIGITAL SETEREO,COMUNITARIA,632
3,98.2,RUMBA ESTÉREO,COMERCIAL,632
4,103.2,MIRADOR STEREO 103.2 FM,COMUNITARIA,633
5,102.7,YARIGUIES STEREO,COMERCIAL,634
6,98.7,RADIO UNO,COMERCIAL,634
7,107.2,BETULIANA FM STÈREO,COMUNITARIA,635
8,107.2,BOLIVARIANA FM STEREO,COMUNITARIA,636
9,92.9,COLOMBIA ESTEREO,INTERES PUBLICO,637
10,102.5,LA MEGA ESTÉREO,COMERCIAL,637
11,90.7,W RADIO,COMERCIAL,637
12,95.7,TROPICANA,COMERCIAL,637
13,99.7,LA F M,COMERCIAL,637
14,100.7,EMISORA CULTURAL LUIS CARLOS GALAN SARMIENTO,INTERES PUBLICO,637
15,101.7,UTS - TU RADIO STEREO,INTERES PUBLICO,637
16,91.7,POLICIA NACIONAL BUCARAMANGA,INTERES PUBLICO,637
17,96.2,SANTO TOMAS ESTEREO,INTERES PUBLICO,637
18,96.9,UIS FM,INTERES PUBLICO,637
19,93.4,LA BRUJULA,COMUNITARIA,637
20,88.8,CABRERA STEREO,COMUNITARIA,638
21,103.2,EMISORA COMUNITARIA DE CALIFORNIA,COMUNITARIA,639
22,95.9,CHICAMOCHA STÈREO,INTERES PUBLICO,640
23,103.2,CARCASÍ STEREO,COMUNITARIA,641
24,103.2,EMISOTA COMUNITARIA DE CERRITO,COMUNITARIA,642
25,103.2,CHARALA STEREO,COMUNITARIA,643
26,103.2,CHIMANA ESTEREO,COMUNITARIA,644
27,98.7,ASOCIACION COMUNITARIA LA VOZ DE LA MILAGROSA,COMUNITARIA,645
28,107.7,SOLAR FM ESTEREO,COMUNITARIA,646
29,96.7,SONORA STEREO,COMERCIAL,647
30,88.2,LA VOZ DE LA FÉ,COMUNITARIA,648
31,107.7,LA VOZ DE LOS MOROS,COMUNITARIA,649
32,103.2,CRISTALINA STEREO,COMUNITARIA,650
33,88.2,LA NUEVA CHUCURI STEREO,COMUNITARIA,651
34,88.2,EMISORA COMUNITARIA DE EL PLAYON,COMUNITARIA,652
35,88.2,CACHALU ESTEREO,COMUNITARIA,653
36,88.8,LA VOZ DE TISQUIZOQUE,COMUNITARIA,654
37,104.7,BÉSAME,COMERCIAL,655
38,107.7,LA USTEREO 107.7,COMUNITARIA,655
39,97.7,RADIO OLIMPICA F.M ESTEREO,COMERCIAL,655
40,101.4,MANANTIAL STEREO,COMUNITARIA,656
41,88.2,ECOGUASCA STEREO,COMUNITARIA,657
42,107.7,GUADALUPE STEREO,COMUNITARIA,658
43,88.2,PROYECCION 2000 STEREO,COMUNITARIA,659
44,107.2,EMISORA COMUNITARIA DE HATO,COMUNITARIA,660
45,103.2,EMISORA RITMOS STEREO,COMUNITARIA,661
46,103.2,LA PAZ STEREO,COMUNITARIA,662
47,107.2,LANDAZURI STEREO 107.2,COMUNITARIA,663
48,91.2,LA VOZ DE LEBRIJA,COMUNITARIA,664
49,92.3,RADIO NACIONAL DE COLOMBIA,INTERES PUBLICO,664
50,99.2,EMISORA COMERCIAL 99.2 DE LEBRIJA,COMERCIAL,664
51,105.7,MALAGA 105.7 F.M. LA,COMERCIAL,665
52,88.2,LA VOZ DE LOS ANDES,COMUNITARIA,665
53,92.3,RADIO NACIONAL DE COLOMBIA,INTERES PUBLICO,665
54,107.7,LA VOZ DE MATANZA,COMUNITARIA,666
55,103.2,MOGOTES STEREO,COMUNITARIA,667
56,103.2,EMISORA COMUNITARIA DE MOLAGAVITA,COMUNITARIA,668
57,107.2,OCAMONTE STEREO,COMUNITARIA,669
58,91.2,EMISORA ECOS DE OIBA,COMUNITARIA,670
59,91.2,RADIO COMUNITARIA DE ONZAGA,COMUNITARIA,671
60,104.7,SANTUARIO STEREO,COMUNITARIA,672
61,106.7,RADIO UNO,COMERCIAL,673
62,101.4,LA VOZ DE SOROCOTA,COMUNITARIA,674
63,88.2,ECOS DEL CARARE,COMUNITARIA,675
64,107.2,PUERTO WILCHES ESTEREO 107.2 ,COMUNITARIA,676
65,103.2,LA VOZ DE LA INMACULADA 103.2 F.M,COMUNITARIA,677
66,107.7,SABANA STEREO,COMUNITARIA,678
67,89.7,AMOR ESTEREO,COMERCIAL,678
68,107.2,LA COMETA,COMUNITARIA,679
69,93.7,RADIO NACIONAL DE COLOMBIA,INTERES PUBLICO,679
70,107.7,ECOS DEL SANTIARIO,COMUNITARIA,680
71,103.7,RUMBA ESTÉREO,COMERCIAL,680
72,88.2,SAN JUAN DE GIRON,COMUNITARIA,680
73,101.7,COLOMBIA ESTEREO,INTERES PUBLICO,681
74,91.2,SAN VICENTE STEREO,COMUNITARIA,681
75,91.2,ASOC COMUN.EMISORA R,COMUNITARIA,682
76,91.2,EMISORA SANTA BARBARA STEREO,COMUNITARIA,683
77,102.7,JOSÉ ANTONIO GALAN LA VOZ DE COLOMBIA FM,COMERCIAL,684
78,98.7,EMISORA COMUNITARIA LA CUPULA,COMUNITARIA,684
79,107.7,VADO REAL STEREO,COMUNITARIA,685
80,88.2,EMISORA COMUNITARIA DE TONA,COMUNITARIA,686
81,91.2,CERRO DE LA CRUZ STEREO,COMUNITARIA,687
82,90.7,RADIO CIUDAD DE VELEZ,COMUNITARIA,688
83,101.4,VILLANUEVA STEREO,COMUNITARIA,689
84,103.2,FUNDACION UN NUEVO DIA EMISORA NITRO STEREO,COMUNITARIA,690
