id,ciudad,nombre_emisora,frecuencia,clase_emisora
1,631,NUEVO HORIZONTE,91.2,COMUNITARIA
2,632,BUENAS NUEVAS DIGITAL SETEREO,103.2,COMUNITARIA
3,632,RUMBA ESTÉREO,98.2,COMERCIAL
4,633,MIRADOR STEREO 103.2 FM,103.2,COMUNITARIA
5,634,YARIGUIES STEREO,102.7,COMERCIAL
6,634,RADIO UNO,98.7,COMERCIAL
7,635,BETULIANA FM STÈREO,107.2,COMUNITARIA
8,636,BOLIVARIANA FM STEREO,107.2,COMUNITARIA
9,637,COLOMBIA ESTEREO,92.9,INTERES PUBLICO
10,637,LA MEGA ESTÉREO,102.5,COMERCIAL
11,637,W RADIO,90.7,COMERCIAL
12,637,TROPICANA,95.7,COMERCIAL
13,637,LA F M,99.7,COMERCIAL
14,637,EMISORA CULTURAL LUIS CARLOS GALAN SARMIENTO,100.7,INTERES PUBLICO
15,637,UTS - TU RADIO STEREO,101.7,INTERES PUBLICO
16,637,POLICIA NACIONAL BUCARAMANGA,91.7,INTERES PUBLICO
17,637,SANTO TOMAS ESTEREO,96.2,INTERES PUBLICO
18,637,UIS FM,96.9,INTERES PUBLICO
19,637,LA BRUJULA,93.4,COMUNITARIA
20,638,CABRERA STEREO,88.8,COMUNITARIA
21,639,EMISORA COMUNITARIA DE CALIFORNIA,103.2,COMUNITARIA
22,640,CHICAMOCHA STÈREO,95.9,INTERES PUBLICO
23,641,CARCASÍ STEREO,103.2,COMUNITARIA
24,642,EMISOTA COMUNITARIA DE CERRITO,103.2,COMUNITARIA
25,643,CHARALA STEREO,103.2,COMUNITARIA
26,644,CHIMANA ESTEREO,103.2,COMUNITARIA
27,645,ASOCIACION COMUNITARIA LA VOZ DE LA MILAGROSA,98.7,COMUNITARIA
28,646,SOLAR FM ESTEREO,107.7,COMUNITARIA
29,647,SONORA STEREO,96.7,COMERCIAL
30,648,LA VOZ DE LA FÉ,88.2,COMUNITARIA
31,649,LA VOZ DE LOS MOROS,107.7,COMUNITARIA
32,650,CRISTALINA STEREO,103.2,COMUNITARIA
33,651,LA NUEVA CHUCURI STEREO,88.2,COMUNITARIA
34,652,EMISORA COMUNITARIA DE EL PLAYON,88.2,COMUNITARIA
35,653,CACHALU ESTEREO,88.2,COMUNITARIA
36,654,LA VOZ DE TISQUIZOQUE,88.8,COMUNITARIA
37,655,BÉSAME,104.7,COMERCIAL
38,655,LA USTEREO 107.7,107.7,COMUNITARIA
39,655,RADIO OLIMPICA F.M ESTEREO,97.7,COMERCIAL
40,656,MANANTIAL STEREO,101.4,COMUNITARIA
41,657,ECOGUASCA STEREO,88.2,COMUNITARIA
42,658,GUADALUPE STEREO,107.7,COMUNITARIA
43,659,PROYECCION 2000 STEREO,88.2,COMUNITARIA
44,660,EMISORA COMUNITARIA DE HATO,107.2,COMUNITARIA
45,661,EMISORA RITMOS STEREO,103.2,COMUNITARIA
46,662,LA PAZ STEREO,103.2,COMUNITARIA
47,663,LANDAZURI STEREO 107.2,107.2,COMUNITARIA
48,664,LA VOZ DE LEBRIJA,91.2,COMUNITARIA
49,664,RADIO NACIONAL DE COLOMBIA,92.3,INTERES PUBLICO
50,664,EMISORA COMERCIAL 99.2 DE LEBRIJA,99.2,COMERCIAL
51,665,MALAGA 105.7 F.M. LA,105.7,COMERCIAL
52,665,LA VOZ DE LOS ANDES,88.2,COMUNITARIA
53,665,RADIO NACIONAL DE COLOMBIA,92.3,INTERES PUBLICO
54,666,LA VOZ DE MATANZA,107.7,COMUNITARIA
55,667,MOGOTES STEREO,103.2,COMUNITARIA
56,668,EMISORA COMUNITARIA DE MOLAGAVITA,103.2,COMUNITARIA
57,669,OCAMONTE STEREO,107.2,COMUNITARIA
58,670,EMISORA ECOS DE OIBA,91.2,COMUNITARIA
59,671,RADIO COMUNITARIA DE ONZAGA,91.2,COMUNITARIA
60,672,SANTUARIO STEREO,104.7,COMUNITARIA
61,673,RADIO UNO,106.7,COMERCIAL
62,674,LA VOZ DE SOROCOTA,101.4,COMUNITARIA
63,675,ECOS DEL CARARE,88.2,COMUNITARIA
64,676,PUERTO WILCHES ESTEREO 107.2 ,107.2,COMUNITARIA
65,677,LA VOZ DE LA INMACULADA 103.2 F.M,103.2,COMUNITARIA
66,678,SABANA STEREO,107.7,COMUNITARIA
67,678,AMOR ESTEREO,89.7,COMERCIAL
68,679,LA COMETA,107.2,COMUNITARIA
69,679,RADIO NACIONAL DE COLOMBIA,93.7,INTERES PUBLICO
70,680,ECOS DEL SANTIARIO,107.7,COMUNITARIA
71,680,RUMBA ESTÉREO,103.7,COMERCIAL
72,680,SAN JUAN DE GIRON,88.2,COMUNITARIA
73,681,COLOMBIA ESTEREO,101.7,INTERES PUBLICO
74,681,SAN VICENTE STEREO,91.2,COMUNITARIA
75,682,ASOC COMUN.EMISORA R,91.2,COMUNITARIA
76,683,EMISORA SANTA BARBARA STEREO,91.2,COMUNITARIA
77,684,JOSÉ ANTONIO GALAN LA VOZ DE COLOMBIA FM,102.7,COMERCIAL
78,684,EMISORA COMUNITARIA LA CUPULA,98.7,COMUNITARIA
79,685,VADO REAL STEREO,107.7,COMUNITARIA
80,686,EMISORA COMUNITARIA DE TONA,88.2,COMUNITARIA
81,687,CERRO DE LA CRUZ STEREO,91.2,COMUNITARIA
82,688,RADIO CIUDAD DE VELEZ,90.7,COMUNITARIA
83,689,VILLANUEVA STEREO,101.4,COMUNITARIA
84,690,FUNDACION UN NUEVO DIA EMISORA NITRO STEREO,103.2,COMUNITARIA
